Wahlkreis,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER
180,-0.13313979670836754,3.7432746489473345,-1.6894489269114863,4.775923228461436,2.2096405307934037,-0.5255276901502727,0.12192979270086257,0.0,-0.954280575523343
181,0.1344031160988494,2.305127118706543,-2.08571417798862,9.638030637810996,2.819991579646969,1.4707407830632349,-1.1730962921150798,0.0,-0.3381819889379862
182,0.1344031160988494,2.305127118706543,-2.08571417798862,9.638030637810996,2.8199915796469694,1.4707407830632349,-1.1730962921150798,0.0,-0.3381819889379862
183,0.19928281443496437,4.182706015556706,-1.0515716151437347,6.3539524224855075,1.8346231891329012,-1.9336171180718909,-0.09331704066744036,0.0,-0.668158000574757
184,0.7316048762923058,3.296886001526098,-1.3518641631877502,8.212704618146002,2.1572888025136994,-1.0130067764819837,-0.9749629912319148,0.0,-0.5865878638642266
185,-0.043045904189030836,4.070575432500845,-1.2327743644878502,7.40869830649815,1.9900698972765405,-0.37643463404953786,-0.12678680009750018,0.0,-0.5747780543488803
186,0.0020327981109833373,4.5739569658124175,-0.9912971365459556,5.062405959638797,1.6068851836482971,-1.7115822664075757,0.04172993652336488,0.0,-0.7205902413892479
187,-0.20908293799902178,4.3539215840200285,-0.872588373853119,4.81210735909139,1.907812495330681,-1.5752633263428917,-0.0002304206041838525,0.0,-0.7479083027877791
188,-5.09112825841119,7.782267760549172,1.0008438801191513,8.45318165427324,0.4655228031886357,-5.813683523547568,0.10828903658528545,0.0,-0.7109030602994117
189,-5.187268186920535,8.73632252262902,0.9218071509320307,8.341428619383398,0.48849940913525397,-5.90439783722286,0.204768431787458,0.0,-0.7947016159185997
190,-5.058864141536122,6.807374404186953,0.2923831735184933,11.534228093052121,1.0014263345297025,-3.9862786400832873,-0.1517234017074935,0.0,-0.09625597107882868
191,-5.471716128615143,8.150016432076225,0.7839293269972748,9.850717942976603,-1.1594424275985047,-3.840065043131072,0.1308419065756262,0.0,-0.17330807281076463
192,-4.954061682670666,6.495290017158343,0.32258960305160794,13.47199458820505,0.27677809859526675,-3.590295350572466,-0.45691255511504286,0.0,0.04781150637537708
193,-6.030178327287678,8.353729085901659,1.1510717261759167,7.525303746841706,1.3969784827293754,-5.2965341691343095,0.17823945419008316,0.0,0.23935901518593114
194,-6.476539906962187,7.801509502416548,1.0116787624915362,8.48519697184335,1.0172101463945171,-4.688445593027108,0.3166085497975754,0.0,0.13781099297578692
195,-6.738333134577212,8.123065760219793,0.8085103692468807,7.603390579552361,0.48827905658291804,-3.1572340207255576,0.15152041517963197,0.0,-0.648367489679348
196,-0.7987688558315515,3.635829564411151,-0.9343566990046434,4.236660331169779,2.0832848187225306,0.9356672533834675,0.8703902831542774,0.0,-2.667491708656734
197,-0.5992624080680523,4.510546888860794,-1.6585154303842375,4.238167921272028,2.407836791725983,0.11130726152440773,1.067940356926465,0.0,-3.163054357152935
198,-0.32823608773134894,2.832420566760201,-1.0755849967767708,5.51119646125336,1.661036665514406,1.5805169602820361,1.033495260957052,0.0,-2.819666258593189
199,-0.6810351919905555,4.5816910429097195,-0.9072596888203706,3.7525023125184283,1.5235470502936814,0.0012523384793196254,1.3776560652193321,0.0,-3.2472441662760536
200,-0.6647894899558154,5.0848376647097036,-1.8716399517786073,4.073926240043601,0.6240053126507946,0.9815544446972565,0.7704268141696433,0.0,-2.4953224392515296
201,-0.3717751774657743,5.042579120147718,-0.7324848643830555,3.779822653641489,1.9628295289293458,1.4368620886340215,1.2946609761674606,0.0,-6.496221547914272
202,-0.09233862872182032,4.530393104988252,-1.0282224984757993,5.1002084164029675,-0.1469146607368528,1.6293906905007345,1.2226412229029147,0.0,-3.5964708432254926
203,-0.1954241061362539,4.800582644322081,-0.8706915261143623,4.336509634180973,1.6702982727563598,-1.5962601534407552,1.0678626949015944,0.0,-2.3553262377100204
